Accepting connection Diagnostics Log,,
Date and Time: 07-05-2025 17:05:20,,
Operation Diagnostics,,
create_context Diagnostics,,
Time:,0.111306200,sec
CPU time (user):,0.109375000,sec
CPU time (system):,0.062500000,sec
Total CPU time:,0.171875000,sec
Effective CPU cores used:,1.54,x
CPU usage during operation:,137.50,%
Memory change (RSS):,1323008,bytes
Memory change (USS):,241664,bytes
Python memory allocated:,3605,bytes

wrap_socket Diagnostics,,
Time:,0.000223700,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,212992,bytes
Memory change (USS):,0,bytes
Python memory allocated:,2336,bytes

wait_for_TLS_handshake Diagnostics,,
Time:,0.892147200,sec
CPU time (user):,0.796875000,sec
CPU time (system):,0.093750000,sec
Total CPU time:,0.890625000,sec
Effective CPU cores used:,1.00,x
CPU usage during operation:,100.00,%
Memory change (RSS):,581632,bytes
Memory change (USS):,0,bytes
Python memory allocated:,1264,bytes

Total time for security operations:,1.003677100,sec
End of diagnostics Log,,



Receiving Payload Diagnostics Log,,
Date and Time: 07-05-2025 17:05:21,,
Operation Diagnostics,,
payload_decryption Diagnostics,,
Time:,0.005131100,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,97.70,%
Memory change (RSS):,147456,bytes
Memory change (USS):,65536,bytes
Python memory allocated:,20268,bytes

Total time for security operations:,0.005131100,sec
End of diagnostics Log,,



Creating Payload Diagnostics Log,,
Date and Time: 07-05-2025 17:05:21,,
Operation Diagnostics,,
payload_encryption Diagnostics,,
Time:,0.001525000,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,4096,bytes
Memory change (USS):,4096,bytes
Python memory allocated:,82128,bytes

generate_hash Diagnostics,,
Time:,0.008166900,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,4096,bytes
Memory change (USS):,0,bytes
Python memory allocated:,1169,bytes

generate_signature Diagnostics,,
Time:,0.179112000,sec
CPU time (user):,0.140625000,sec
CPU time (system):,0.046875000,sec
Total CPU time:,0.187500000,sec
Effective CPU cores used:,1.05,x
CPU usage during operation:,108.00,%
Memory change (RSS):,2170880,bytes
Memory change (USS):,1294336,bytes
Python memory allocated:,745962,bytes

Total time for security operations:,0.188803900,sec
End of diagnostics Log,,



Receiving Payload Diagnostics Log,,
Date and Time: 07-05-2025 17:05:22,,
Operation Diagnostics,,
payload_decryption Diagnostics,,
Time:,0.000994800,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,4096,bytes
Memory change (USS):,0,bytes
Python memory allocated:,11086,bytes

Total time for security operations:,0.000994800,sec
End of diagnostics Log,,



Creating Connection Diagnostics Log,,
Date and Time: 08-05-2025 02:40:22,,
Operation Diagnostics,,
create_context Diagnostics,,
Time:,0.055753800,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.031250000,sec
Total CPU time:,0.031250000,sec
Effective CPU cores used:,0.56,x
CPU usage during operation:,49.60,%
Memory change (RSS):,2191360,bytes
Memory change (USS):,1146880,bytes
Python memory allocated:,3245,bytes

wrap_socket Diagnostics,,
Time:,0.048576700,sec
CPU time (user):,0.046875000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.046875000,sec
Effective CPU cores used:,0.96,x
CPU usage during operation:,75.60,%
Memory change (RSS):,2813952,bytes
