Creating Connection Diagnostics Log,,
Date and Time: 07-05-2025 17:05:20,,
Operation Diagnostics,,
create_context Diagnostics,,
Time:,0.019770500,sec
CPU time (user):,0.015625000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.015625000,sec
Effective CPU cores used:,0.79,x
CPU usage during operation:,104.20,%
Memory change (RSS):,1060864,bytes
Memory change (USS):,57344,bytes
Python memory allocated:,1841,bytes

wrap_socket Diagnostics,,
Time:,0.026024900,sec
CPU time (user):,0.031250000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.031250000,sec
Effective CPU cores used:,1.20,x
CPU usage during operation:,100.80,%
Memory change (RSS):,573440,bytes
Memory change (USS):,360448,bytes
Python memory allocated:,119100,bytes

wait_for_TLS_handshake Diagnostics,,
Time:,0.000317800,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,61440,bytes
Memory change (USS):,32768,bytes
Python memory allocated:,1272,bytes

Total time for security operations:,0.046113200,sec
End of diagnostics Log,,



Creating Payload Diagnostics Log,,
Date and Time: 07-05-2025 17:05:21,,
Operation Diagnostics,,
payload_encryption Diagnostics,,
Time:,0.001032100,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,97.70,%
Memory change (RSS):,114688,bytes
Memory change (USS):,69632,bytes
Python memory allocated:,14712,bytes

Total time for security operations:,0.001032100,sec
End of diagnostics Log,,



Receiving Payload Diagnostics Log,,
Date and Time: 07-05-2025 17:05:22,,
Operation Diagnostics,,
payload_decryption Diagnostics,,
Time:,0.001377600,sec
CPU time (user):,0.015625000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.015625000,sec
Effective CPU cores used:,11.34,x
CPU usage during operation:,97.70,%
Memory change (RSS):,40960,bytes
Memory change (USS):,4096,bytes
Python memory allocated:,87921,bytes

verify_hash Diagnostics,,
Time:,0.000226800,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
